Title,Genre
A Rainy Day in New York,Comedy
A Rainy Day in New York,Romance
Murder Manual,Horror
Murder Manual,Thriller
Ferris Bueller's Day Off,Comedy
Cape Fear,Crime
Cape Fear,Thriller
Mean Girls,Comedy
Gretel & Hansel,Fantasy
Gretel & Hansel,Horror
Gretel & Hansel,Mystery
Gretel & Hansel,Thriller
Jurassic World: Fallen Kingdom,Action
Jurassic World: Fallen Kingdom,Adventure
Jurassic World: Fallen Kingdom,Sci-Fi
The Avengers,Action
The Avengers,Adventure
The Avengers,Sci-Fi
Good Will Hunting,Drama
Good Will Hunting,Romance
2001: A Space Odyssey,Adventure
2001: A Space Odyssey,Sci-Fi
Scarface,Crime
Scarface,Drama
Dazed and Confused,Comedy
Our House,Drama
Our House,Horror
Our House,Mystery
Our House,Sci-Fi
Our House,Thriller
Full Metal Jacket,Drama
Full Metal Jacket,War
Harry Potter and the Chamber of Secrets,Adventure
Harry Potter and the Chamber of Secrets,Family
Harry Potter and the Chamber of Secrets,Fantasy
Harry Potter and the Chamber of Secrets,Mystery
Gran Torino,Drama
"Three Billboards Outside Ebbing, Missouri",Comedy
"Three Billboards Outside Ebbing, Missouri",Crime
"Three Billboards Outside Ebbing, Missouri",Drama
Cast Away,Adventure
Cast Away,Drama
Cast Away,Romance
Star Wars: Episode III - Revenge of the Sith,Action
Star Wars: Episode III - Revenge of the Sith,Adventure
Star Wars: Episode III - Revenge of the Sith,Fantasy
Star Wars: Episode III - Revenge of the Sith,Sci-Fi
Bird Box,Drama
Bird Box,Horror
Bird Box,Sci-Fi
Seberg,Biography
Seberg,Drama
Seberg,Thriller
School of Rock,Comedy
School of Rock,Music
Malena,Comedy
Malena,Drama
Malena,Romance
Malena,War
A Beautiful Mind,Biography
A Beautiful Mind,Drama
Fargo,Crime
Fargo,Drama
Fargo,Thriller
True Grit,Drama
True Grit,Western
Les Misérables,Drama
Les Misérables,History
Les Misérables,Musical
Les Misérables,Romance
Les Misérables,War
Cinderella,Drama
Cinderella,Family
Cinderella,Fantasy
Cinderella,Romance
Superbad,Comedy
I Am Legend,Action
I Am Legend,Adventure
I Am Legend,Drama
I Am Legend,Sci-Fi
I Am Legend,Thriller
The Kitchen,Action
The Kitchen,Crime
The Kitchen,Drama
Star Wars: Episode II - Attack of the Clones,Action
Star Wars: Episode II - Attack of the Clones,Adventure
Star Wars: Episode II - Attack of the Clones,Fantasy
Star Wars: Episode II - Attack of the Clones,Sci-Fi
Vertigo,Mystery
Vertigo,Romance
Vertigo,Thriller
Debt Collectors,Action
Mortal Kombat Legends: Scorpion's Revenge,Animation
Mortal Kombat Legends: Scorpion's Revenge,Action
Mortal Kombat Legends: Scorpion's Revenge,Adventure
Mortal Kombat Legends: Scorpion's Revenge,Fantasy
Blade Runner,Action
Blade Runner,Sci-Fi
Blade Runner,Thriller
Watchmen,Action
Watchmen,Drama
Watchmen,Mystery
Watchmen,Sci-Fi
Richard Jewell,Biography
Richard Jewell,Crime
Richard Jewell,Drama
Downton Abbey,Drama
Downton Abbey,Romance
Toy Story 4,Animation
Toy Story 4,Adventure
Toy Story 4,Comedy
Toy Story 4,Family
Toy Story 4,Fantasy
San Andreas,Action
San Andreas,Adventure
San Andreas,Drama
San Andreas,Thriller
The Age of Adaline,Drama
The Age of Adaline,Fantasy
The Age of Adaline,Romance
It Comes At Night,Horror
It Comes At Night,Mystery
The Master,Drama
No Escape,Action
No Escape,Thriller
Robin Hood,Action
Robin Hood,Adventure
Robin Hood,Drama
Robin Hood,History
Immortals,Action
Immortals,Drama
Immortals,Fantasy
Immortals,Romance
American Graffiti,Comedy
American Graffiti,Drama
The Professor and the Madman,Biography
The Professor and the Madman,Drama
Sixteen Candles,Comedy
Sixteen Candles,Romance
Fractured,Mystery
Fractured,Thriller
Battleship,Action
Battleship,Adventure
Battleship,Sci-Fi
Battleship,Thriller
Batman & Robin,Action
Batman & Robin,Sci-Fi
Matilda,Comedy
Matilda,Family
Matilda,Fantasy
Black Hawk Down,Drama
Black Hawk Down,History
Black Hawk Down,War
The Art of Racing in the Rain,Comedy
The Art of Racing in the Rain,Drama
The Art of Racing in the Rain,Romance
The Art of Racing in the Rain,Sport
The Last House on the Left,Horror
The Last House on the Left,Thriller
"O Brother, Where Art Thou?",Adventure
"O Brother, Where Art Thou?",Comedy
"O Brother, Where Art Thou?",Crime
"O Brother, Where Art Thou?",Music
Moon,Drama
Moon,Mystery
Moon,Sci-Fi
No Strings Attached,Comedy
No Strings Attached,Romance
Movie 43,Comedy
The Gift,Drama
The Gift,Mystery
The Gift,Thriller
The Da Vinci Code,Mystery
The Da Vinci Code,Thriller
The Equalizer 2,Action
The Equalizer 2,Crime
The Equalizer 2,Thriller
Blow the Man Down,Comedy
Blow the Man Down,Drama
Blow the Man Down,Mystery
Notting Hill,Comedy
Notting Hill,Drama
Notting Hill,Romance
The Waterboy,Comedy
The Waterboy,Sport
Dredd,Action
Dredd,Crime
Dredd,Sci-Fi
Fast & Furious 6,Action
Fast & Furious 6,Adventure
Fast & Furious 6,Thriller
Scent of a Woman,Drama
The Laundromat,Comedy
The Laundromat,Crime
The Laundromat,Drama
The Laundromat,History
Edward Scissorhands,Drama
Edward Scissorhands,Fantasy
Edward Scissorhands,Romance
High Life,Adventure
High Life,Drama
High Life,Horror
High Life,Mystery
High Life,Sci-Fi
High Life,Thriller
Kids,Drama
Thirteen,Drama
The Nun,Horror
The Nun,Mystery
The Nun,Thriller
Before Sunrise,Drama
Before Sunrise,Romance
Run All Night,Action
Run All Night,Crime
Run All Night,Drama
Run All Night,Thriller
Atlantis: The Lost Empire,Animation
Atlantis: The Lost Empire,Action
Atlantis: The Lost Empire,Adventure
Atlantis: The Lost Empire,Family
Atlantis: The Lost Empire,Fantasy
Atlantis: The Lost Empire,Sci-Fi
The Girl in the Spider's Web,Action
The Girl in the Spider's Web,Crime
The Girl in the Spider's Web,Drama
The Girl in the Spider's Web,Thriller
Swallow,Drama
Swallow,Thriller
Transformers: Dark of the Moon,Action
Transformers: Dark of the Moon,Adventure
Transformers: Dark of the Moon,Sci-Fi
The Fugitive,Action
The Fugitive,Crime
The Fugitive,Drama
The Fugitive,Mystery
The Fugitive,Thriller
Pet Sematary,Horror
Pet Sematary,Mystery
Pet Sematary,Thriller
This Is Where I Leave You,Comedy
This Is Where I Leave You,Drama
Flight,Drama
Flight,Thriller
Alex Rider: Operation Stormbreaker,Action
Alex Rider: Operation Stormbreaker,Adventure
Alex Rider: Operation Stormbreaker,Family
Alex Rider: Operation Stormbreaker,Thriller
Despicable Me 2,Animation
Despicable Me 2,Adventure
Despicable Me 2,Comedy
Despicable Me 2,Family
Despicable Me 2,Fantasy
Despicable Me 2,Sci-Fi
Brazil,Drama
Brazil,Sci-Fi
American Pie 2,Comedy
The Circle,Drama
The Circle,Sci-Fi
The Circle,Thriller
Beauty and the Beast,Animation
Beauty and the Beast,Family
Beauty and the Beast,Fantasy
Beauty and the Beast,Musical
Beauty and the Beast,Romance
The Color Purple,Drama
Peter Pan,Adventure
Peter Pan,Family
Peter Pan,Fantasy
Peter Pan,Romance
Big,Comedy
Big,Drama
Big,Fantasy
Big,Romance
Signs,Drama
Signs,Mystery
Signs,Sci-Fi
Signs,Thriller
WarGames,Action
WarGames,Adventure
WarGames,Drama
WarGames,Sci-Fi
WarGames,Thriller
Final Destination,Horror
Final Destination,Thriller
Failure to Launch,Comedy
Failure to Launch,Romance
Overboard,Comedy
Overboard,Romance
Panic Room,Crime
Panic Room,Drama
Panic Room,Thriller
Big Time Adolescence,Comedy
X2: X-Men United,Action
X2: X-Men United,Sci-Fi
X2: X-Men United,Thriller
Rush Hour,Action
Rush Hour,Comedy
Rush Hour,Crime
Rush Hour,Thriller
Wall Street,Crime
Wall Street,Drama
Robin Hood: Men in Tights,Adventure
Robin Hood: Men in Tights,Comedy
Robin Hood: Men in Tights,Musical
Robin Hood: Men in Tights,Romance
Last Christmas,Comedy
Last Christmas,Drama
Last Christmas,Romance
Resident Evil,Action
Resident Evil,Horror
Resident Evil,Sci-Fi
In the Heat of the Night,Crime
In the Heat of the Night,Drama
In the Heat of the Night,Mystery
In the Heat of the Night,Thriller
Hackers,Comedy
Hackers,Crime
Hackers,Drama
Hackers,Thriller
Cocktail,Comedy
Cocktail,Drama
Cocktail,Romance
Yes Man,Comedy
Yes Man,Romance
Grandma's Boy,Comedy
Law Abiding Citizen,Action
Law Abiding Citizen,Crime
Law Abiding Citizen,Drama
Law Abiding Citizen,Thriller
An American Werewolf in London,Comedy
An American Werewolf in London,Horror
Leaving Las Vegas,Drama
Leaving Las Vegas,Romance
The Photograph,Drama
The Photograph,Romance
Little Giants,Comedy
Little Giants,Family
Little Giants,Sport
The Poison Rose,Thriller
Backdraft,Crime
Backdraft,Drama
Backdraft,Mystery
Backdraft,Thriller
Dawn of the Planet of the Apes,Action
Dawn of the Planet of the Apes,Adventure
Dawn of the Planet of the Apes,Drama
Dawn of the Planet of the Apes,Sci-Fi
Exodus: Gods and Kings,Action
Exodus: Gods and Kings,Drama
Exodus: Gods and Kings,Fantasy
The Bodyguard,Action
The Bodyguard,Drama
The Bodyguard,Music
The Bodyguard,Romance
The Bodyguard,Thriller
Knowing,Action
Knowing,Drama
Knowing,Mystery
Knowing,Sci-Fi
Knowing,Thriller
All the Money in the World,Biography
All the Money in the World,Crime
All the Money in the World,Drama
All the Money in the World,Mystery
All the Money in the World,Thriller
Isn't It Romantic,Comedy
Isn't It Romantic,Fantasy
Isn't It Romantic,Romance
American Wedding,Comedy
The Scorpion King,Action
The Scorpion King,Adventure
The Scorpion King,Fantasy
