Title,Language
A Rainy Day in New York,English
Murder Manual,English
Ferris Bueller's Day Off,English
Ferris Bueller's Day Off,German
Cape Fear,English
Mean Girls,English
Mean Girls,German
Mean Girls,Vietnamese
Mean Girls,Swahili
Gretel & Hansel,English
Jurassic World: Fallen Kingdom,English
Jurassic World: Fallen Kingdom,Russian
The Avengers,English
The Avengers,Russian
The Avengers,Hindi
Good Will Hunting,English
2001: A Space Odyssey,English
2001: A Space Odyssey,Russian
Scarface,English
Scarface,Spanish
Dazed and Confused,English
Our House,English
Full Metal Jacket,English
Full Metal Jacket,Vietnamese
Harry Potter and the Chamber of Secrets,English
Gran Torino,English
Gran Torino,Hmong
"Three Billboards Outside Ebbing, Missouri",English
Cast Away,English
Cast Away,Russian
Star Wars: Episode III - Revenge of the Sith,English
Bird Box,English
Seberg,English
Seberg,French
School of Rock,English
Malena,Italian
Malena,English
Malena,Latin
Malena,"Greek, Ancient (to 1453)"
A Beautiful Mind,English
Fargo,English
True Grit,English
Les Misérables,English
Cinderella,English
Superbad,English
I Am Legend,English
The Kitchen,English
The Kitchen,Hebrew
Star Wars: Episode II - Attack of the Clones,English
Vertigo,English
Debt Collectors,English
Mortal Kombat Legends: Scorpion's Revenge,English
Blade Runner,English
Blade Runner,German
Blade Runner,Cantonese
Blade Runner,Japanese
Blade Runner,Hungarian
Blade Runner,Arabic
Watchmen,English
Richard Jewell,English
Downton Abbey,English
Toy Story 4,English
San Andreas,English
The Age of Adaline,English
The Age of Adaline,Portuguese
The Age of Adaline,Italian
It Comes At Night,English
The Master,Filipino
The Master,English
No Escape,English
No Escape,French
No Escape,Thai
No Escape,Khmer
Robin Hood,English
Robin Hood,French
Robin Hood,Ukrainian
Immortals,English
Immortals,Greek
American Graffiti,English
The Professor and the Madman,English
Sixteen Candles,English
Fractured,English
Battleship,English
Battleship,Japanese
Batman & Robin,English
Matilda,English
Black Hawk Down,English
Black Hawk Down,Somali
Black Hawk Down,Arabic
The Art of Racing in the Rain,English
The Art of Racing in the Rain,Italian
The Last House on the Left,English
"O Brother, Where Art Thou?",English
Moon,English
Moon,Spanish
No Strings Attached,English
No Strings Attached,Ukrainian
Movie 43,English
The Gift,English
The Da Vinci Code,English
The Da Vinci Code,French
The Da Vinci Code,Latin
The Da Vinci Code,Spanish
The Equalizer 2,English
The Equalizer 2,French
The Equalizer 2,Turkish
The Equalizer 2,Hebrew
The Equalizer 2,Arabic
The Equalizer 2,Spanish
Blow the Man Down,English
Notting Hill,English
Notting Hill,Spanish
The Waterboy,English
Dredd,English
Fast & Furious 6,English
Fast & Furious 6,Spanish
Fast & Furious 6,Russian
Fast & Furious 6,Japanese
Fast & Furious 6,Cantonese
Fast & Furious 6,Dutch
Scent of a Woman,English
The Laundromat,English
The Laundromat,Mandarin
The Laundromat,Spanish
The Laundromat,Russian
Edward Scissorhands,English
High Life,English
Kids,English
Thirteen,English
Thirteen,Spanish
Thirteen,Portuguese
The Nun,English
The Nun,French
The Nun,Romanian
The Nun,Latin
Before Sunrise,English
Before Sunrise,German
Before Sunrise,French
Run All Night,English
Atlantis: The Lost Empire,English
Atlantis: The Lost Empire,French
Atlantis: The Lost Empire,Spanish
The Girl in the Spider's Web,English
Swallow,English
Transformers: Dark of the Moon,English
The Fugitive,English
The Fugitive,Polish
The Fugitive,Spanish
Pet Sematary,English
This Is Where I Leave You,English
This Is Where I Leave You,Hebrew
Flight,English
Alex Rider: Operation Stormbreaker,English
Despicable Me 2,English
Despicable Me 2,Ukrainian
Brazil,English
American Pie 2,English
The Circle,English
Beauty and the Beast,English
Beauty and the Beast,French
The Color Purple,English
Peter Pan,English
Peter Pan,North American Indian
Big,English
Big,Spanish
Signs,English
Signs,Portuguese
WarGames,English
Final Destination,English
Final Destination,French
Failure to Launch,English
Overboard,English
Overboard,French
Overboard,Portuguese
Panic Room,English
Big Time Adolescence,English
X2: X-Men United,English
X2: X-Men United,German
X2: X-Men United,Italian
X2: X-Men United,Spanish
Rush Hour,English
Rush Hour,Cantonese
Rush Hour,Mandarin
Wall Street,English
Robin Hood: Men in Tights,English
Last Christmas,English
Last Christmas,Serbo-Croatian
Last Christmas,Mandarin
Last Christmas,French
Resident Evil,English
In the Heat of the Night,English
Hackers,English
Hackers,Italian
Hackers,Japanese
Hackers,Russian
Cocktail,English
Cocktail,Spanish Sign Language
Yes Man,English
Yes Man,Korean
Yes Man,Estonian
Grandma's Boy,English
Law Abiding Citizen,English
An American Werewolf in London,English
Leaving Las Vegas,English
Leaving Las Vegas,Russian
The Photograph,English
Little Giants,English
The Poison Rose,English
The Poison Rose,Spanish
Backdraft,English
Dawn of the Planet of the Apes,English
Dawn of the Planet of the Apes,American Sign Language
Exodus: Gods and Kings,English
The Bodyguard,English
Knowing,English
All the Money in the World,English
All the Money in the World,Italian
All the Money in the World,Arabic
