genre_id,genre,freq
0,Drama,29539
1,Comedy,19312
2,Thriller,11785
3,Romance,11035
4,Action,10013
5,Horror,8812
6,Crime,7855
7,Adventure,6800
8,Mystery,4595
9,Western,4184
10,Sci-Fi,3995
11,Family,3001
12,Fantasy,2826
13,Music,2204
14,Musical,1801
15,War,1774
16,Biography,1254
17,Sport,1192
18,Animation,1060
19,History,1026
20,Film-Noir,816
21,a,613
22,r,599
23,m,582
24,o,553
25,e,543
26,c,429
27,n,389
28,t,387
29,y,358
30,i,334
31,D,268
32,u,211
33,d,205
34, ,193
35,l,173
36,C,107
37,h,102
38,s,69
39,/,59
40,A,58
41,R,56
42,S,42
43,-,41
44,T,40
45,f,32
46,H,26
47,p,26
48,w,20
49,M,19
50,F,19
51,v,17
52,News,16
53,g,14
54,B,13
55,k,11
56,W,10
57,P,7
58,I,6
59,V,5
60,Reality-TV,4
61,O,3
62,b,2
63,Game-Show,1
64,Talk-Show,1
65,Z,1
66,U,1
