title_id,title,numb_of_versions
0,Homecoming,10
1,Dead End,10
2,Vengeance,9
3,The Three Musketeers,9
4,The Outsider,9
5,The Basement,8
6,Broken,8
7,Stuck,8
8,Legacy,7
9,Mercy,7
10,Alice in Wonderland,7
11,Rage,7
12,Trapped,7
13,Silence,7
14,Macbeth,7
15,The Protector,7
16,Surrender,7
17,Redemption,7
18,A Midsummer Night's Dream,7
19,Last Call,7
20,Reunion,6
21,Shelter,6
22,The Hunted,6
23,Robin Hood,6
24,Bloodline,6
25,Daddy,6
26,Bad Blood,6
27,Deception,6
28,Underground,6
29,Temptation,6
30,Blackout,6
31,Devotion,6
32,Sherlock Holmes,6
33,Exposed,6
34,Little Women,6
35,Kidnapped,6
36,The Drifter,6
37,Jane Eyre,6
38,Victory,5
39,The Girl,5
40,Beauty and the Beast,5
41,The Game,5
42,Cleopatra,5
43,Caught,5
44,Chance,5
45,Spin,5
46,Asylum,5
47,Running Wild,5
48,Revenge,5
49,Arizona,5
50,Shades of Gray,5
51,House Arrest,5
52,The Midnight Man,5
53,Camille,5
54,Dreamland,5
55,The Gift,5
56,Delirium,5
57,Second Chance,5
58,Bad Company,5
59,The First Time,5
60,Sacrifice,5
61,Inferno,5
62,Kismet,5
63,The Journey,5
64,Treasure Island,5
65,Deadline,5
66,Resurrection,5
67,Fractured,5
68,Payback,5
69,The Blackout,5
70,Inheritance,5
71,Bigfoot,5
72,Twisted,5
73,The Kid,5
74,Oliver Twist,5
75,Ashes,5
76,The Guardian,5
77,Siren,5
78,Hamlet,5
79,Lucky,5
80,Heist,5
81,Extraction,5
82,The Calling,5
83,Run,5
84,Easy Money,5
85,Aftermath,5
86,The Other Side,5
87,Split,5
88,Blood Money,5
89,Detention,5
90,The Sea Wolf,5
91,Inside Out,5
92,Brothers in Arms,5
93,Sleeping Beauty,5
94,Midnight,5
95,Fear,5
96,The Unknown,5
97,Hostage,5
98,Twelve,5
99,Shattered,5
100,Awake,4
101,Prisoners,4
102,The Lost City,4
103,Rapture,4
104,No Exit,4
105,Lizzie,4
106,Double Trouble,4
107,Nobody's Perfect,4
108,The Patriot,4
109,Sugar,4
110,It Had to Be You,4
111,Whatever It Takes,4
112,Intruder,4
113,End Game,4
114,Vendetta,4
115,Race,4
116,Split Second,4
117,Joshua,4
118,Exposure,4
119,Brothers,4
120,Perception,4
121,Refuge,4
122,Rivals,4
123,Underworld,4
124,Do Not Disturb,4
125,Outside the Law,4
126,Find Me,4
127,Spree,4
128,The Return,4
129,The Good Life,4
130,Othello,4
131,The Butcher,4
132,Convicted,4
133,Escape,4
134,Possession,4
135,Inconceivable,4
136,Haunted,4
137,The Inner Circle,4
138,Under the Gun,4
139,In the Dark,4
140,A Christmas Carol,4
141,Unknown,4
142,Detour,4
143,Bad Guys,4
144,Sahara,4
145,Green,4
146,Honey,4
147,Avalanche,4
148,Bully,4
149,Break,4
150,Honeymoon,4
151,Daybreak,4
152,Emma,4
153,Play Dead,4
154,Paradox,4
155,The Invisible Man,4
156,Touched,4
157,Stay,4
158,Cinderella,4
159,Game Day,4
160,Death Valley,4
161,Down to Earth,4
162,Ritual,4
163,Abduction,4
164,Countdown,4
165,After Midnight,4
166,Echoes,4
167,Phoenix,4
168,Above Suspicion,4
169,The Prisoner of Zenda,4
170,The Jungle Book,4
171,Checkmate,4
172,Project X,4
173,Holiday,4
174,Nightmare,4
175,Retribution,4
176,The Stranger,4
177,The Picture of Dorian Gray,4
178,Wages of Sin,4
179,Breathing Room,4
180,The Fighter,4
181,The Beast,4
