,title,run_t
0,A Rainy Day in New York,92
1,Murder Manual,91
2,Ferris Bueller's Day Off,103
3,Cape Fear,128
4,Mean Girls,97
5,Gretel & Hansel,87
6,Jurassic World: Fallen Kingdom,128
7,The Avengers,143
8,Good Will Hunting,126
9,2001: A Space Odyssey,149
10,Scarface,170
11,Dazed and Confused,102
12,Our House,90
13,Full Metal Jacket,116
14,Harry Potter and the Chamber of Secrets,161
15,Gran Torino,116
16,"Three Billboards Outside Ebbing, Missouri",115
17,Cast Away,143
18,Star Wars: Episode III - Revenge of the Sith,140
19,Bird Box,124
20,Seberg,102
21,School of Rock,109
22,Malena,108
23,A Beautiful Mind,135
24,Fargo,98
25,True Grit,110
26,Les Misérables,158
27,Cinderella,105
28,Superbad,113
29,I Am Legend,101
30,The Kitchen,102
31,Star Wars: Episode II - Attack of the Clones,142
32,Vertigo,128
33,Debt Collectors,97
34,Mortal Kombat Legends: Scorpion's Revenge,80
35,Blade Runner,117
36,Watchmen,162
37,Richard Jewell,131
38,Downton Abbey,122
39,Toy Story 4,100
40,San Andreas,114
41,The Age of Adaline,112
42,It Comes At Night,91
43,The Master,138
44,No Escape,103
45,Robin Hood,140
46,Immortals,110
47,American Graffiti,110
48,The Professor and the Madman,124
49,Sixteen Candles,93
50,Fractured,99
51,Battleship,131
52,Batman & Robin,125
53,Matilda,98
54,Black Hawk Down,144
55,The Art of Racing in the Rain,109
56,The Last House on the Left,110
57,"O Brother, Where Art Thou?",107
58,Moon,97
59,No Strings Attached,108
60,Movie 43,94
61,The Gift,108
62,The Da Vinci Code,149
63,The Equalizer 2,121
64,Blow the Man Down,91
65,Notting Hill,124
66,The Waterboy,90
67,Dredd,95
68,Fast & Furious 6,130
69,Scent of a Woman,156
70,The Laundromat,95
71,Edward Scissorhands,105
72,High Life,113
73,Kids,91
74,Thirteen,100
75,The Nun,96
76,Before Sunrise,101
77,Run All Night,114
78,Atlantis: The Lost Empire,95
79,The Girl in the Spider's Web,115
80,Swallow,94
81,Transformers: Dark of the Moon,154
82,The Fugitive,130
83,Pet Sematary,101
84,This Is Where I Leave You,103
85,Flight,138
86,Alex Rider: Operation Stormbreaker,93
87,Despicable Me 2,98
88,Brazil,132
89,American Pie 2,108
90,The Circle,110
91,Beauty and the Beast,84
92,The Color Purple,154
93,Peter Pan,113
94,Big,104
95,Signs,106
96,WarGames,114
97,Final Destination,98
98,Failure to Launch,97
99,Overboard,112
100,Panic Room,112
101,Big Time Adolescence,91
102,X2: X-Men United,134
