,Movie_id,Preformer,Gender
0,616904,Kouzou Morishita,2
1,544087,,
2,735110,Tenoch Huerta,2
3,79785,Robert Powell,2
4,653522,Vincenzo Crea,2
5,675568,William Angiuli,0
6,374565,Carlos Areces,2
7,761107,Richard Grieco,2
8,766333,Jackie Long,2
9,743496,Kevin James,2
10,612036,Rebecca Hill Casey,1
11,489926,Melissa Hargis,0
12,527280,Yuki Yamada,2
13,79694,Ashley Greene,1
14,49069,Catherine Mary Stewart,1
15,794151,Tsubasa Honda,1
16,699465,Sean Faris,2
17,181095,Will Wallace,2
18,84111,Kai Ko,2
19,482712,Vincent Lindon,2
20,43978,Massoumeh Naderi,0
21,34012,Marlon Brando,2
22,524788,Jake Stormoen,2
23,16092,Ruth Díaz,1
24,485774,Dylan Minnette,2
25,744876,Shabana Azmi,1
26,466550,Sushant Singh Rajput,2
27,13523,Josh Zuckerman,2
28,64690,Ryan Gosling,2
29,47327,Nicolas Cage,2
30,1018,Naomi Watts,1
31,46302,Leighton Meester,1
32,25571,Mark Dacascos,2
33,256092,John Cusack,2
34,13704,Corey Haim,2
35,14429,Melissa Joan Hart,1
36,630486,AJ Bowen,2
37,284286,Patricia Clarkson,1
38,47340,Ned Manning,0
39,85551,Glenn Morshower,2
40,16933,George Raft,2
41,101797,Christopher Beasley,0
42,30833,John F. Goff,2
43,39310,Sharron Corley,2
44,519168,David Warner,2
45,37087,Edmond O'Brien,2
46,668156,Demet Akbağ,1
47,339095,Edgar Ramírez,2
48,183011,Justin Chambers,2
49,384521,Gugu Mbatha-Raw,1
50,376292,Zoë Bell,1
51,502140,Neil Young,2
52,222305,Jeneta St. Clair,1
53,51239,Kevin Sorbo,2
54,410630,Mindy Heithaus,0
55,564024,John Jackson,0
56,370834,Thomas Blankenship,0
57,305570,Julian Agnew,0
58,291041,Daniel Bianchini Rodriguez,0
59,760230,Boris Lehman,2
60,647496,Jassim Al Nabhan,2
61,372728,Phe Caplan,1
62,713227,Dylan Reed,2
63,452558,Louis Koo,2
64,756956,Mars Fargo,0
65,269878,Amanda Crawford,0
66,93959,,
67,734780,Arjun Kapoor,2
68,816836,Ma Anand Sheela,1
69,158011,Halle Berry,1
70,481848,Harrison Ford,2
71,746817,Lin Shaye,1
72,388347,Max Deacon,2
73,382542,Kevin Tanski,0
74,20981,Matt Foyer,2
75,121727,John Beck,2
76,9537,John Malkovich,2
77,42759,Charlton Heston,2
78,638782,Yusuf Abdurahman,0
79,527083,Ruth Kadiri,0
80,399444,,
81,487598,Kamal Jaloqa,0
82,472418,Charli Seely,1
83,531434,,
84,532992,,
85,733420,,
86,776847,Florence Barker,0
87,820706,Amanda Burke,1
88,596204,Brené Brown,1
89,17314,Steven Seagal,2
90,23531,Amanda Peet,1
91,58793,Rebecca Gayheart,1
92,367419,,
93,524292,Judith Diakhate,1
94,648723,Andovi da Lopez,0
95,200745,Simone Frajnd,0
96,40858,Dan Duryea,2
97,748402,Hairul Azreen,2
98,180305,Frances O'Connor,1
99,271714,Erin Darke,1
100,522212,Michael B. Jordan,2
101,590164,Daniella Pineda,1
102,414001,Colin Firth,2
103,401060,James Wolk,2
104,434714,Elliot Page,3
105,26789,Richard Gere,2
106,423383,Steven Hubbell,0
107,420105,Allen Neal Jones,2
108,5247,Ellen Barkin,1
109,26916,Eric Roberts,2
110,477857,Mike Mizanin,2
111,45020,Scott Caan,2
112,690596,Cyntoia D. Brown,1
113,337073,Kane Hodder,2
114,167238,,
115,124409,Billy Blanks,2
116,36594,Stephen Rea,2
117,552950,Lily Newmark,1
118,650029,,
119,284535,,
120,429417,Andy Nyman,2
121,601643,Jhanvi Kapoor,1
122,277941,Chris Martin,2
123,259651,John Carradine,2
124,64855,Aiden Grennell,0
125,262473,,
126,518983,Nadine Garner,1
127,211993,,
128,211981,Sarah Mynett,0
129,724963,Mikiah Reinbolt,0
130,272078,Chris Martin,2
131,724352,Sukant Goel,0
132,124118,Bob Jenkins,0
133,211988,Sarah Mynett,0
134,211985,Sarah Mynett,0
135,786178,,
136,577413,Kim Newman,2
137,85012,Jennifer Tse,1
138,444307,Lu Shan,0
139,524793,Yiu-Cheung Lai,0
140,505225,Anne Hathaway,1
141,629277,Cha In-pyo,2
142,351460,Nat Wolff,2
143,51482,Keiji Fujiwara,2
144,68555,Mamoru Miyano,2
145,611063,Nat Wolff,2
146,16007,Tatsuya Fujiwara,2
147,16140,Tatsuya Fujiwara,2
148,382272,Masahiro Higashide,2
149,20329,Kenichi Matsuyama,2
150,815026,Kenji Urai,2
151,294194,,
152,628039,Chelsea Handler,1
153,612152,Brenda Song,1
154,220339,Julie Christie,1
155,582570,Marlon Wayans,2
156,346685,Emily Blunt,1
157,241261,Henry Ian Cusick,2
158,695958,Parineeti Chopra,1
159,41248,Michel Blanc,2
160,615678,Melissa McCarthy,1
161,714375,Nia Long,1
162,70267,,
163,560333,Canice Bannon,0
164,407794,Mira Sorvino,1
165,310926,Katja Woywood,1
166,802504,Yolanthe Cabau,1
167,343232,Bryan Danielson,2
168,276632,Maria Pecchioli,0
169,661747,Fulu Mugovhani,1
170,659063,Hedi Bouchenafa,2
171,563766,Massimo Ghini,2
172,275068,Dan Anderson,0
173,563355,Jed Rees,2
174,746060,Bethany Joy Lenz,1
175,241999,Briana Evigan,1
176,793850,,
177,299574,Sarah Carter,1
178,776141,Bob Hope,2
179,702061,,
180,655970,,
181,383752,,
182,574412,,
183,600700,Glenda Martes,0
184,695333,Maria Bamford,1
185,407559,Ruth Wilson,1
186,504321,Noémie Schmidt,1
187,560362,Carmen Ejogo,1
188,270019,Romaine Fielding,2
189,307250,Leo Burmester,2
190,706104,,
191,800415,Stan Nze,0
192,525701,Tien Peng,2
193,600510,Jimmy Jean-Louis,2
194,442527,María Duval,1
195,838354,Patrick Tse Yin,2
196,19848,LisaRaye McCoy,1
197,649777,Jeff Chandler,0
198,649779,Paul Sanasardo,0
199,38241,Ethan Pringle,0
200,765583,Florence Lawrence,1
201,297938,Luis Barrón,0
202,474644,Eddie Bayers,0
203,89899,Jean Dujardin,2
204,608649,Riccardo Scamarcio,2
205,200300,Eijiro Ozaki,0
206,278193,Suresh Gopi,2
207,321256,,
208,128566,Tobi Gadison Brown,0
209,357758,,
210,309454,,
211,685251,Stéphane Ragon,2
212,328835,,
213,689,Eva Kotamanidou,0
214,558687,Phillips Collins,0
215,80556,Sanjeev Kumar,2
216,705899,Barack Obama,2
217,431074,Rosie Jones,0
218,715597,,
219,689859,,
220,37276,,
221,718863,,
222,339232,,
223,756252,Jelson Bay,0
224,433249,Margaret Qualley,1
225,41110,Tilda Swinton,1
226,492355,Margherita Buy,1
227,52124,Leonardo Pieraccioni,2
228,41608,Terence Hill,2
229,514266,Marco Giallini,2
230,569543,Mia Martini,0
231,36298,Carlo Verdone,2
232,24180,Daniel Auteuil,2
233,119360,Jacopo Olmo Antinori,0
234,25300,Giuseppe Cristiano,2
235,362155,Margherita Buy,1
236,9031,Terence Hill,2
237,59336,Stefania Sandrelli,1
238,363757,Riccardo Scamarcio,2
239,520045,Brando Giorgi,0
240,599616,Luca Argentero,2
241,58749,Gina Lollobrigida,1
242,68825,Alberto Sordi,2
243,58009,Paolo Villaggio,2
244,793723,Olga Kurylenko,1
245,71401,Emmanuel Salinger,2
246,444782,Noël-Noël,2
247,288380,Fosco Giachetti,0
248,830120,,
249,484452,,
250,14623,Brady Corbet,2
251,11795,David Hayter,2
252,18196,Chris Sarandon,2
253,345934,Liu Ye,2
254,297596,Nicolas Cage,2
255,43786,Brian Donlevy,2
256,560929,,
257,548519,Henri Pézerat,0
258,53455,Clarence Nash,2
259,842198,,
260,26125,Dolph Lundgren,2
261,5820,Michael Douglas,2
262,688900,,
263,7007,Sean Connery,2
264,62851,Sachiko Hidari,1
265,408755,Max Adler,2
266,741998,Mía Maestro,1
267,809962,Tiffany Hoa,0
268,777668,,
269,615677,YaYa Gosselin,1
270,463435,Phil Davis,2
271,743749,,
272,783103,YaYa Gosselin,1
273,67460,Chris Lilley,2
274,72268,Ariel Petsonk,2
275,765123,Kostja Ullmann,2
276,429238,Alex Saxon,2
277,601807,Jacqueline Fernandez,1
278,681019,Julia Wieniawa-Narkiewicz,1
279,433245,Josh Peck,2
280,130842,,
281,637157,Seth Carr,2
282,42176,Barbra Streisand,1
283,501669,John Farnham,2
284,289240,Vera Reynolds,1
285,517296,Robert Paige,2
286,780197,Jim Hellwig,2
287,777924,Hulk Hogan,2
288,663939,,
289,271280,Frank Sinatra,2
290,780206,Hulk Hogan,2
291,780177,Hulk Hogan,2
292,780178,Hulk Hogan,2
293,83038,Edward Asner,2
294,347969,Adam Sandler,2
295,618672,Kiran Shah,2
296,318116,,
297,659067,Sami Bouajila,2
298,147437,Eric Adams,0
299,184746,,
300,726664,Yara Shahidi,1
301,10443,Jeff Bridges,2
302,3053,Jack MacGowran,2
303,41386,Beck,2
304,444787,Jackie Chen,0
305,76083,Buster Crabbe,2
306,121038,Jon Voight,2
307,669994,Jay Wilsey,0
308,272506,,
309,7549,Jet Li,2
310,606094,Alonzo Herran JR,0
311,377430,Kavan Smith,2
312,385361,Michael Copon,2
313,577980,Fionnula Flanagan,1
314,820847,,
315,808434,,
316,808308,,
317,241804,Carleton Carpenter,2
318,271808,Earl McCarthy,0
319,669396,Erin Bethea,1
320,639609,Sonequa Martin-Green,1
321,676844,Juli Fàbregas,2
322,4924,Fabian,2
323,550115,Logan Paul,2
324,652483,Larissa Manoela,1
325,575113,Lillo Petrolo,2
326,475210,Theo James,2
327,776559,Zoe Lister-Jones,1
328,301846,Ed Speleers,2
329,38325,Grigoriy Dobrygin,2
330,780618,Debra Winger,1
331,683199,Jefri Nichol,2
332,40170,Lateef Crowder,2
333,369033,Fran Kranz,2
334,168891,George Williams,0
335,21832,Megumi Ogata,1
336,615916,Carter,0
337,372761,Akira Ishida,2
338,35945,Phil Davis,2
339,758279,Roger Conners,2
340,128185,Jon Foo,2
341,132709,Nicholas Chirls,0
342,476771,,
343,639707,,
344,615349,,
345,561475,,
346,793570,Ben Gaudet,0
347,419003,Dan Jurgens,0
348,423124,,
349,52408,Shugo Oshinari,0
350,30984,Jon Nödtveidt,2
351,689101,,
352,787298,Adrianna Chlebicka,1
353,323372,Alba Ribas,1
354,692969,Gitte Witt,1
355,766008,Demián Salomón,2
356,161479,Tavi Gevinson,1
357,102420,Daniel Rairdin-Hale,0
358,656565,,
359,30914,José Mojica Marins,2
360,109703,Dawn DuVurger,0
361,735563,Sofía Gala Castiglione,1
362,398313,Rossemberg Rivas,0
363,421975,Guillermo Murray,2
364,615059,Alisson Emanoel,0
365,658255,,
366,460009,Arnau Vilardebó,0
367,89290,Miguel de la Riva,2
368,687057,,
369,808854,Analía Couceyro,1
370,114578,José Carlos Ruiz,2
371,340547,David Reynoso,2
372,770121,,
373,433244,Vinessa Shaw,1
374,772771,,
375,300075,,
376,471988,Aimi Yoshikawa,1
377,608493,Giovanna Zacarías,1
378,615177,Ed Helms,2
379,883,Roberto Benigni,2
380,198062,Glenn Howerton,2
381,68200,Joan Claybrook,0
382,68540,Roberto Benigni,2
383,412511,Anna Hutchison,1
384,308143,Laura Vandervoort,1
385,107380,Philip Baker Hall,2
386,49511,Al Pacino,2
387,245175,Gabrielle Dennis,1
388,662919,,
389,40922,Jonathan Bray,2
390,605775,Iniya,1
391,251689,Ricardo Bonno,2
392,263912,Joie Lee,1
393,320701,Blanche Baker,1
394,573478,Christy Geslain,0
395,99352,Varun Sandesh,2
396,472693,Iggy Pop,2
397,757830,Cherry Cao Yi-Wen,0
398,399131,Lucy Hale,1
399,8859,Ashton Kutcher,2
400,13827,Matthew McConaughey,2
401,296503,Alec Owen,0
402,506822,Bridgette B,1
403,55546,Clarence Nash,2
404,295049,Martin Clunes,2
405,72022,George O’Brien,2
406,164258,Hoot Gibson,2
407,694379,Natalie Darbyson,0
408,128523,Tim Holt,2
409,396337,Bob Custer,2
410,327390,Jack Oakie,2
411,129284,Eddie Daniels,1
412,71039,,
413,294545,Steve Rude,0
414,411621,,
415,746507,Clayton Napoli,0
416,393911,Brad Roberts,0
417,703023,Tyler Toney,2
418,664524,Hanggini Purinda Retto,0
419,190967,J.K. Simmons,2
420,356388,Mark Jackson,2
421,417919,Rahul Kohli,2
422,157455,,
423,509681,,
424,390777,Billie Joe Armstrong,2
425,632138,Olivia Brady,0
426,718867,Hong Beom-gi,2
427,628756,Barack Obama,2
428,706510,Nasim Pedrad,1
429,102488,Vince Edwards,2
430,63356,,
431,460328,James Craig,2
432,421743,Adam West,2
433,460791,Robert Arthur,2
434,281987,George McCann,0
435,59882,Randolph Scott,2
436,473068,Kenny Bee,2
437,49050,Richard Joseph Paul,2
438,383326,,
439,252276,Bill Elliott,2
440,330157,Ruth Roman,1
441,241819,George Montgomery,2
442,30232,Tony Dalton,2
443,210955,George Montgomery,2
444,88949,Ernest Borgnine,2
445,102289,Jane Russell,1
446,193158,Allan Lane,2
447,7085,Lex Barker,2
448,747349,Dolly Parton,1
449,531949,David Spade,2
450,696815,Josh Wolf,0
451,582868,Usha Jadhav,1
452,491101,Kent Taylor,0
453,623776,Franklyn Farnum,2
454,440593,Bill Elliott,2
455,202142,Monte Hale,2
456,346552,Smiley Burnette,2
457,355420,Guinn Williams,2
458,710871,Thanapob Leeratanakajorn,2
459,30402,Edward Furlong,2
460,346650,Bob Odenkirk,2
461,402582,Jeff Garlin,2
462,617505,Adam Sandler,2
463,463053,Gillian Jacobs,1
464,531735,Christian Clavier,2
465,164130,Jan Kooijman,0
466,408211,Cara Theobold,1
467,265720,,
468,354771,Maor Shwitzer,0
469,11073,Tom Wlaschiha,2
470,74040,Karl Dall,2
471,532289,May Hollerman,0
472,604129,Mark 'Bez' Berry,0
473,86855,Toni Gustinell,0
474,166205,Adrià Collado,2
475,264956,Régis Porte,2
476,322482,Athena Cansino,0
477,57620,,
478,531306,Jack Gore,2
479,419700,Adam Sandler,2
480,582607,Eden Duncan-Smith,1
481,488145,Eden Duncan-Smith,1
482,602310,Tiffany Haddish,1
483,778870,Sheila Kelley,1
484,625450,Ava Michelle,1
485,772272,Ava Michelle,1
486,526408,Silvana Mihai,0
487,312857,Edda Baumann von Broen,1
488,10020,Paige O'Hara,1
489,321612,Emma Watson,1
490,13313,Paige O'Hara,1
491,17894,Timothy Dalton,2
492,30844,Estella Warren,1
493,132137,Ed Quinn,2
494,12542,Steven Seagal,2
495,49038,John Savage,2
496,15267,George Dzundza,2
497,258680,Irene Cara,1
498,12889,Billy West,2
499,786584,Anna Shields,0
500,35073,Paul Hubschmid,2
501,40219,Ronny Cox,2
502,46452,Chad Mathews,2
503,632489,,
504,108181,Guy Madison,2
505,40218,Calvin Lockhart,2
506,22727,Tor Johnson,2
507,27272,Jane Scarlett,1
508,465109,Adam Sandler,2
509,77944,Fabio De Luigi,2
510,155341,Michael Mfume,0
511,38601,Soulwax,0
512,804497,George Peppard,2
513,537734,Sasheer Zamata,1
514,629059,Juan Manuel Orestegui,0
515,88249,Lars Eidinger,2
516,405197,Matilde Gioli,1
517,204204,Sonja Ziemann,1
518,138701,Sebastian Koch,2
519,815167,Tony Berghs,0
520,366856,Rick Gomez,2
521,646605,Cynthia Aspra,0
522,753332,Doğu Can,0
523,688038,Farzaneh Taidi,1
524,23690,Beau Allulli,0
525,669098,王漪淼,1
526,341374,Karl-Heinz Bauer,0
527,451102,Nenad Radović,0
528,525041,Rose McIver,1
529,15596,Rodney Dangerfield,2
530,623973,Elyse Maloway,0
531,325896,Kimberly Elise,1
532,745762,,
533,521508,,
534,316046,,
535,689723,Camila Mendes,1
536,787158,David Powell,2
537,463101,Sharon Alessandri,0
538,645489,Pankaj Tripathi,2
539,262709,Genea Charpentier,1
540,600794,Ladele Tojoula,0
541,331713,,
542,586083,,
543,678933,,
544,824965,,
545,620883,Luisana Lopilato,1
546,362653,Carsten Fabian,0
547,744289,Bill Bennett,2
548,369443,Joo Won,2
549,431242,Kristín Ólafsdóttir,0
550,67878,Svetlana Timofeeva-Letunovskaya,1
551,640521,René Mena,0
552,515741,Noomi Rapace,1
553,12446,Catherine Frot,1
554,2046,Cate Blanchett,1
555,478100,Anna Mouglalis,1
556,631060,Amanda Seyfried,1
557,517751,,
558,507453,,
559,470558,Kelly Ames,0
560,531736,Sarah Stern,1
561,586333,Pol Monen,2
562,352492,Sarah Hyland,1
563,464893,,
564,567444,,
565,596979,Angélica Belmont,0
566,826892,,
567,446337,Carlos Castañón,0
568,211607,,
569,624963,Tamara Smart,1
570,587693,Rose McIver,1
571,588001,Blanca Suárez,1
572,281787,Talat Bulut,0
573,639414,Konkona Sen Sharma,1
574,658777,Cornelia Gröschel,1
575,456750,Adam DeVine,2
576,463348,Martin Scurll,2
577,675592,Kiara Advani,1
578,9950,Vin Diesel,2
579,4916,Rebecca De Mornay,1
580,55101,Bill Pullman,2
581,22423,Robert De Niro,2
582,567748,Jake Gyllenhaal,2
583,388624,Steve-O,2
584,35546,Bonita Granville,1
585,68663,Kathy Bates,1
586,162284,Lionel Barrymore,2
587,37485,Zachary Scott,2
588,520134,Rosanna Arquette,1
589,38292,Morgan Freeman,2
590,240023,Barbra Streisand,1
591,65169,Anthony Hopkins,2
592,266262,Betty Compson,1
593,371182,Lori Loughlin,1
594,200371,Rod Steiger,2
595,458195,Josh Caras,2
596,477075,O.J. Simpson,2
597,523139,Patrick Wilson,2
598,424652,,
599,783959,Taylor Salim,0
600,660006,Karole Rocher,1
601,378986,Alexandra Stewart,1
602,194708,Françoise Fabian,1
603,40132,Laura Gemser,1
