,Pulled_ID,Pulled_Movie_Name,Pulled_Release_Date,Budget,Revenue,Profit,Preformer,Gender
0,616904,Enter the Anime,2019-08-05,0,0,0,Kouzou Morishita,2
1,544087,Dark Forces: Shadow People,2018-05-18,1000000,0,-1000000,,
2,653522,The App,2019-12-26,0,0,0,Vincenzo Crea,2
3,485774,The Open House,2018-01-19,0,0,0,Dylan Minnette,2
4,744876,Kaali Khuhi,2020-10-30,0,0,0,Shabana Azmi,1
5,466550,Drive,2019-11-01,0,0,0,Sushant Singh Rajput,2
6,668156,Leyla Everlasting,2020-12-04,0,0,0,Demet Akbağ,1
7,339095,The Last Days of American Crime,2020-06-05,0,0,0,Edgar Ramírez,2
8,183011,Justice League: The Flashpoint Paradox,2013-07-30,3500000,0,-3500000,Justin Chambers,2
9,734780,Sardar Ka Grandson,2021-05-18,0,0,0,Arjun Kapoor,2
10,816836,Searching for Sheela,2021-04-22,0,0,0,Ma Anand Sheela,1
11,158011,The Call,2013-03-14,13000000,68572378,55572378,Halle Berry,1
12,17314,Pistol Whipped,2008-03-04,10000000,0,-10000000,Steven Seagal,2
13,748402,All Because of You,2020-10-01,0,0,0,Hairul Azreen,2
14,180305,Mercy,2014-10-07,0,0,0,Frances O'Connor,1
15,650029,After the Raid,2019-12-19,0,0,0,,
16,429417,Ghost Stories,2018-01-20,0,135095,135095,Andy Nyman,2
17,505225,The Last Thing He Wanted,2020-02-14,0,0,0,Anne Hathaway,1
18,629277,What Happened to Mr Cha?,2021-01-01,0,0,0,Cha In-pyo,2
19,351460,Death Note,2017-08-25,40000000,0,-40000000,Nat Wolff,2
20,628039,"Hello, Privilege. It's Me, Chelsea",2019-09-13,0,0,0,Chelsea Handler,1
21,612152,Secret Obsession,2019-07-18,0,0,0,Brenda Song,1
22,582570,Sextuplets,2019-08-16,0,0,0,Marlon Wayans,2
23,346685,The Girl on the Train,2016-10-05,45000000,173185859,128185859,Emily Blunt,1
24,615678,Thunder Force,2021-04-09,0,0,0,Melissa McCarthy,1
25,714375,Fatal Affair,2020-07-16,0,0,0,Nia Long,1
26,802504,Just Say Yes,2021-04-02,0,0,0,Yolanthe Cabau,1
27,661747,Seriously Single,2020-07-31,0,0,0,Fulu Mugovhani,1
28,659063,The Misadventures of Hedi and Cokeman,2021-02-10,0,0,0,Hedi Bouchenafa,2
29,563766,5 Star Christmas,2018-12-07,0,0,0,Massimo Ghini,2
30,600700,After Maria,2019-04-28,0,0,0,Glenda Martes,0
31,407559,I Am the Pretty Thing That Lives in the House,2016-09-10,0,0,0,Ruth Wilson,1
