Performer,Metascore
'Big Boo' Brett Mitchell,62.0
'Chicken' Holleman,61.0
'Cousin Brucie' Morrow,65.0
'Maria' Rusinova Asenova,70.0
'Squeeks' the Caterpillar,65.0
'Weird Al' Yankovic,54.0
50 Cent,39.875
A Martinez,51.5
A. Cheron Hall,40.0
A. Delon Ellis Jr.,48.0
A. Jay Radcliff,50.0
A. Lee Morris,41.0
A. Michael Baldwin,54.0
A. Russell Andrews,39.5
A.B. Calloway,44.0
A.C. McDonald,76.0
A.C. Peterson,47.0
A.C. Tony Smith,57.0
A.D. Miles,59.0
A.J. Balance,27.0
A.J. Benza,48.0
A.J. Buckley,39.75
A.J. Cook,40.8
A.J. Foyt IV,33.0
A.J. Helfet,48.0
A.J. Johnson,57.0
A.J. Langer,55.5
A.J. Shively,48.0
A.J. Tecce,67.0
A.J. Trauth,29.0
A.L. Camp,65.0
A.M. Lukas,50.0
A.P. Singh,67.0
A.S. Hamrah,61.0
AJ Bowen,54.083333333333336
AJ Cedeno,52.5
AJ Diana,66.0
AJ Meijer,57.0
AJ Michalka,46.75
ASAP Ferg,72.0
ASAP Rocky,72.0
Aakash Maheriya,67.0
Aaliayah Romer,65.0
Aaliyah,41.0
Aaliyyah Hill,58.0
Aalok Mehta,46.0
Aankha Neal,80.0
Aapo Pukk,25.0
Aaran Thomas,35.0
Aarif Rahman,50.0
Aaron Abrams,34.5
Aaron Aoki,84.0
Aaron Ashmore,32.0
Aaron Augustus,75.0
Aaron Auslender,43.0
Aaron B. Oduber,61.0
Aaron Bantum,30.0
Aaron Beelner,57.0
Aaron Behr,37.0
Aaron Benward,42.0
Aaron Berg,73.0
Aaron Bilyeu,77.0
Aaron Blakely,76.0
Aaron Bridgers,61.0
Aaron Brooks,51.0
Aaron Burns,45.5
Aaron Buyea,78.0
Aaron Carter,32.5
Aaron Cassara,66.0
Aaron Clayton,28.0
Aaron Cohen,46.5
Aaron Colom,47.0
Aaron Conte,41.0
Aaron Costa Ganis,50.5
Aaron Courteau,24.0
Aaron Crutchfield,44.0
Aaron D. Spears,41.0
Aaron Dalla Villa,54.0
Aaron DeCone,40.0
Aaron Dillar,44.0
Aaron Dominguez,40.0
Aaron Douglas,44.0
Aaron Dozier,51.0
Aaron Dugger,79.0
Aaron Eckhart,51.0625
Aaron Farb,60.0
Aaron Fisher,49.0
Aaron Fors,65.0
Aaron Frazier,39.0
Aaron Freeman,40.0
Aaron Geraghty,54.0
Aaron Gillespie,26.0
Aaron Golden,40.0
Aaron Goldhammer,54.0
Aaron Gordon,57.0
Aaron Grady Shaw,48.0
Aaron Groben,61.0
Aaron Hakeem,5.0
Aaron Hale,54.5
Aaron Harnick,74.0
Aaron Heffernan,33.0
Aaron Hill,37.666666666666664
Aaron Hillis,62.0
Aaron Himelstein,40.5
Aaron Hotch,62.0
Aaron Hughes,44.666666666666664
Aaron J. Nelson,65.0
Aaron J. Patton,37.0
Aaron Jackson,59.5
Aaron Jay Rome,39.0
Aaron Jeffery,60.0
Aaron Joshua,39.0
Aaron Jungels,62.0
Aaron Katz,41.0
Aaron Keller,65.5
Aaron Kwok,49.0
Aaron Langridge,54.0
Aaron Larsen,47.0
Aaron Lazar,44.0
Aaron Leddick,30.0
Aaron Letrick,6.0
Aaron Lohr,46.0
Aaron Lustig,56.666666666666664
Aaron Magidow,71.0
Aaron Marshall,64.0
Aaron McCusker,49.0
Aaron McGregor,65.0
Aaron McPherson,44.0
Aaron Michael Drozin,47.0
Aaron Michael Metchik,30.0
Aaron Mitchel,69.0
Aaron Monaghan,55.0
Aaron Moorhead,80.0
Aaron Moten,59.5
Aaron Murphy,50.0
Aaron Neville,40.0
Aaron O'Connell,16.0
Aaron Opara,29.0
